accommodates,bathrooms,bedrooms,beds,avg_rating,number_of_reviews,calculated_host_listings_count,host_response_rate,host_is_superhost,neighbourhood_cleansed,property_type,price
4,2.0,2.0,2.0,2.2142857142857144,2,1,1.0,f,Ward 115,Entire rental unit,7.5595594960077
2,1.0,1.0,1.0,4.199999999999999,8,1,1.0,f,Ward 72,Entire rental unit,5.973809611869261
4,1.0,2.0,2.0,4.937142857142857,29,2,1.0,t,Ward 77,Entire rental unit,8.142354276849835
2,1.0,1.0,1.0,4.912857142857143,37,3,1.0,t,Ward 62,Entire villa,7.719129840906732
2,1.5,1.0,2.0,4.93,12,1,1.0,f,Ward 113,Entire guest suite,6.618738983517219
4,2.0,3.0,3.0,4.902857142857143,19,8,1.0,f,Ward 64,Entire home,7.5652752818989315
10,8.0,5.0,5.0,4.805714285714286,8,2,1.0,t,Ward 54,Entire villa,10.182708934070043
6,3.5,4.0,4.0,4.541428571428572,9,22,1.0,t,Ward 73,Entire home,8.617038526385954
8,4.0,4.0,4.0,4.859999999999999,66,20,1.0,t,Ward 54,Entire villa,9.210840247017833
2,1.0,1.0,1.0,4.891428571428571,99,3,1.0,f,Ward 54,Entire rental unit,7.978996370854115
2,1.0,1.0,1.0,4.987142857142857,32,1,1.0,f,Ward 71,Entire guest suite,6.957497370876951
4,2.5,2.0,2.0,4.957142857142856,30,1,1.0,f,Ward 115,Entire loft,8.593598522618644
2,1.0,0.0,1.0,4.951428571428572,166,3,1.0,t,Ward 115,Entire rental unit,6.925595197110468
4,2.0,2.0,2.0,4.965714285714285,22,5,0.67,f,Ward 54,Private room in rental unit,9.158204617555654
2,1.0,1.0,1.0,4.915714285714286,67,14,1.0,t,Ward 54,Entire rental unit,7.585788821732034
2,1.0,1.0,1.0,4.497142857142857,40,74,0.89,f,Ward 115,Entire rental unit,6.529418838262226
4,1.5,2.0,2.0,4.962857142857142,30,1,1.0,t,Ward 77,Entire rental unit,7.453561871643373
4,1.0,1.0,3.0,4.957142857142856,68,1,1.0,t,Ward 1,Entire rental unit,6.238324625039508
2,1.0,1.0,1.0,5.0,1,1,1.0,f,Ward 54,Entire rental unit,6.3784261836515865
2,1.0,1.0,1.0,4.902857142857143,63,2,1.0,f,Ward 115,Entire serviced apartment,7.150701457592526
2,1.0,1.0,1.0,4.797142857142857,12,1,1.0,t,Ward 107,Entire rental unit,6.85751406254539
4,1.0,1.0,2.0,4.7942857142857145,113,2,1.0,t,Ward 83,Entire condo,6.680854678790215
2,1.0,0.0,1.0,4.762857142857143,9,49,0.98,t,Ward 54,Entire rental unit,7.416979621381154
9,3.5,4.0,4.0,5.0,6,2,1.0,f,Ward 62,Entire villa,9.741027444837728
6,2.0,3.0,4.0,5.0,1,38,1.0,t,Ward 64,Entire home,7.4127640174265625
4,1.0,1.0,2.0,4.904285714285715,32,3,1.0,t,Ward 61,Farm stay,7.162397497355718
4,1.0,2.0,3.0,4.388571428571429,7,181,0.99,f,Ward 115,Entire rental unit,7.663407664893479
5,2.0,3.0,4.0,4.857142857142857,2,51,1.0,t,Ward 61,Entire home,7.199678345691172
2,1.0,1.0,1.0,4.619999999999999,6,7,1.0,f,Ward 55,Entire rental unit,7.468513271496337
2,1.0,1.0,1.0,4.547142857142857,6,108,0.97,f,Ward 55,Entire rental unit,7.039660349862076
4,2.0,2.0,3.0,4.727142857142857,113,1,1.0,t,Ward 77,Entire home,8.001689978099135
4,1.0,2.0,4.0,4.928571428571429,2,3,0.78,t,Ward 61,Entire rental unit,7.719129840906732
2,1.0,1.0,1.0,4.742857142857143,5,45,0.98,t,Ward 54,Entire rental unit,7.98139158158007
2,1.5,0.0,1.0,4.971428571428571,56,4,1.0,t,Ward 23,Entire rental unit,7.466799475018602
4,2.0,2.0,2.0,4.7,36,1,1.0,f,Ward 70,Entire rental unit,7.25063551189868
2,1.0,1.0,0.0,4.838571428571429,15,14,1.0,t,Ward 54,Entire rental unit,6.963189985870238
2,1.0,1.0,1.0,4.964285714285714,54,7,1.0,t,Ward 23,Entire rental unit,7.409136443920128
7,2.5,3.0,5.0,4.975714285714285,6,53,1.0,t,Ward 54,Entire rental unit,9.453364978883542
2,1.0,0.0,1.0,4.771428571428572,91,2,0.88,t,Ward 77,Entire rental unit,7.3783837129967145
2,1.0,1.0,1.0,4.807142857142857,140,37,1.0,f,Ward 115,Entire serviced apartment,7.067319848653476
2,1.5,1.0,1.0,4.857142857142857,1,13,1.0,f,Ward 109,Private room in rental unit,7.696667081526462
8,1.5,4.0,6.0,4.7700000000000005,21,4,1.0,f,Ward 7,Entire home,8.438149984075784
8,3.0,4.0,4.0,5.0,7,1,1.0,f,Ward 77,Entire home,9.249657234353133
4,1.0,2.0,2.0,4.965714285714286,43,1,1.0,t,Ward 62,Entire guest suite,7.313886831633462
2,1.0,1.0,1.0,4.771428571428571,28,6,1.0,t,Ward 4,Entire serviced apartment,7.4798641311650265
2,1.0,1.0,1.0,4.834285714285714,149,2,0.9,f,Ward 115,Entire rental unit,6.616065185132817
2,1.0,1.0,1.0,4.8028571428571425,19,145,0.99,f,Ward 54,Entire rental unit,7.353081920515432
2,1.5,1.0,1.0,4.095714285714286,3,10,0.9,f,Ward 59,Private room in guesthouse,7.313886831633462
2,1.0,1.0,1.0,4.987142857142857,11,1,1.0,t,Ward 23,Entire condo,6.898714534329988
6,1.5,3.0,4.0,4.894285714285715,51,1,1.0,t,Ward 61,Entire home,7.444833273892193
9,3.5,4.0,5.0,4.702857142857143,50,1,0.0,f,Ward 113,Entire home,7.0707241072602764
7,2.0,3.0,5.0,4.928571428571429,2,1,1.0,f,Ward 64,Entire home,8.289037098278483
2,1.0,0.0,1.0,4.868571428571429,12,2,1.0,f,Ward 77,Entire rental unit,6.985641817639208
6,3.0,3.0,3.0,5.0,3,43,1.0,f,Ward 100,Entire rental unit,7.3783837129967145
4,2.0,2.0,2.0,4.857142857142856,135,21,1.0,t,Ward 55,Entire condo,6.92951677076365
16,8.0,8.0,8.0,4.811428571428571,3,21,0.97,t,Ward 54,Entire villa,10.661837096341706
2,1.0,1.0,0.0,5.0,2,3,1.0,t,Ward 54,Entire rental unit,6.985641817639208
2,1.0,1.0,2.0,4.8,15,2,1.0,f,Ward 115,Entire rental unit,6.902742737158593
2,1.0,1.0,1.0,5.0,1,145,0.99,f,Ward 115,Entire rental unit,6.962243464266207
6,2.0,3.0,4.0,4.941428571428572,27,1,1.0,f,Ward 83,Entire rental unit,7.629975707027789
4,1.0,0.0,3.0,5.0,3,22,1.0,t,Ward 64,Entire rental unit,7.783640596221253
2,1.0,0.0,1.0,4.714285714285714,1,3,0.1,f,Ward 23,Private room in guest suite,8.400884069015854
8,3.0,4.0,7.0,4.902857142857142,59,2,1.0,t,Ward 54,Entire home,8.638348312972704
2,1.0,0.0,1.0,4.744285714285715,29,1,1.0,f,Ward 115,Entire rental unit,6.375024819828097
2,1.5,1.0,0.0,4.717142857142856,32,19,1.0,t,Ward 54,Entire condo,7.262628600974241
4,3.0,2.0,3.0,4.331428571428572,16,1,1.0,f,Ward 54,Entire rental unit,7.68662133494462
2,1.0,1.0,1.0,4.938571428571428,16,8,1.0,t,Ward 54,Room in boutique hotel,6.728628613084702
2,1.0,1.0,1.0,5.0,1,18,1.0,t,Ward 115,Entire rental unit,7.513709247839705
4,2.0,1.0,1.0,4.898571428571429,24,1,1.0,f,Ward 77,Entire rental unit,6.928537818164665
2,1.5,1.0,1.0,4.434285714285714,23,2,1.0,f,Ward 57,Entire rental unit,6.0063531596017325
5,2.5,4.0,4.0,4.968571428571429,9,2,1.0,t,Ward 84,Entire home,7.719129840906732
4,1.0,1.0,2.0,4.938571428571429,7,1,1.0,f,Ward 74,Entire condo,7.4821189235521155
4,1.0,1.0,1.0,4.6899999999999995,62,1,1.0,f,Ward 83,Entire rental unit,6.595780513961311
1,1.0,1.0,1.0,5.0,1,1,1.0,f,Ward 1,Private room in guest suite,5.655991810819852
6,3.0,3.0,4.0,4.845714285714285,137,1,1.0,t,Ward 115,Entire rental unit,8.17526610411206
2,1.0,1.0,1.0,4.872857142857143,19,1,1.0,t,Ward 115,Entire rental unit,7.237059026124737
3,1.0,1.0,1.0,4.948571428571428,8,1,1.0,f,Ward 70,Entire rental unit,6.418364935936212
5,1.5,2.0,2.0,4.848571428571428,19,8,0.89,t,Ward 54,Entire serviced apartment,8.612685172875459
4,2.0,2.0,4.0,4.868571428571428,14,6,0.9,t,Ward 115,Entire rental unit,8.748463629942055
2,1.0,1.0,1.0,4.822857142857143,311,8,1.0,t,Ward 115,Entire rental unit,7.299797366758161
2,1.0,0.0,1.0,4.527142857142858,39,5,1.0,f,Ward 115,Entire rental unit,7.112327444710911
2,0.0,1.0,1.0,4.697142857142857,48,3,1.0,f,Ward 64,Room in bed and breakfast,6.68586094706836
2,1.0,1.0,1.0,4.714285714285714,1,9,0.96,f,Ward 54,Entire serviced apartment,7.937731775260109
2,1.0,1.0,1.0,4.698571428571428,91,35,0.98,f,Ward 115,Entire rental unit,7.444248649496705
8,3.5,4.0,4.0,4.952857142857143,3,76,1.0,t,Ward 54,Entire home,9.305741456739435
4,2.0,2.0,3.0,4.8,10,35,0.98,f,Ward 23,Entire rental unit,7.444248649496705
8,3.5,4.0,4.0,4.721428571428572,20,38,1.0,t,Ward 62,Entire home,8.24301946898925
4,0.5,2.0,2.0,5.0,2,83,0.9,f,Ward 55,Entire rental unit,7.882314918980268
2,1.0,1.0,2.0,4.178571428571429,4,3,1.0,t,Ward 115,Entire rental unit,6.856461984594587
4,2.0,2.0,2.0,4.75,4,11,1.0,f,Ward 61,Entire home,8.006700845440367
2,1.0,1.0,1.0,4.65142857142857,9,7,1.0,f,Ward 115,Entire rental unit,7.342131730584722
2,1.0,1.0,1.0,4.971428571428571,36,2,1.0,t,Ward 64,Private room in vacation home,6.311734809152915
6,2.0,3.0,6.0,4.882857142857143,85,20,1.0,t,Ward 61,Entire cottage,8.476579508530941
8,2.0,3.0,4.0,4.797142857142857,19,1,1.0,f,Ward 61,Entire home,7.982757702011113
8,2.5,4.0,5.0,4.83,38,1,1.0,t,Ward 77,Entire home,8.188966863648876
4,2.0,2.0,3.0,4.8,116,2,1.0,f,Ward 23,Entire rental unit,7.284820912568604
2,1.0,1.0,1.0,4.844285714285715,22,3,1.0,t,Ward 107,Private room in guest suite,6.111467339502679
6,2.0,3.0,3.0,4.781428571428571,35,40,1.0,f,Ward 55,Entire condo,7.546446273746024
2,1.0,1.0,1.0,4.428571428571429,2,1,1.0,f,Ward 115,Entire rental unit,6.326149473155099
2,1.0,2.0,1.0,4.922857142857143,13,1,1.0,t,Ward 115,Entire rental unit,7.3783837129967145
4,2.0,2.0,2.0,4.975714285714285,6,1,1.0,f,Ward 84,Entire rental unit,7.6783263565068856
2,1.5,1.0,2.0,4.771428571428571,10,8,1.0,f,Ward 115,Private room in bed and breakfast,7.684783943522785
3,1.0,1.0,3.0,4.808571428571428,14,1,1.0,f,Ward 57,Entire loft,6.156978985585555
4,1.0,2.0,3.0,5.0,3,2,1.0,t,Ward 84,Entire guesthouse,6.803505257608338
4,2.0,2.0,2.0,4.8342857142857145,25,3,1.0,t,Ward 115,Entire rental unit,7.444833273892193
2,1.0,1.0,1.0,4.704285714285715,73,4,1.0,f,Ward 115,Entire rental unit,6.508769136971682
3,1.0,1.0,2.0,5.0,1,18,1.0,f,Ward 3,Private room in home,6.293419278846481
8,4.0,4.0,4.0,4.905714285714285,9,7,1.0,t,Ward 74,Entire home,8.507344855361422
2,1.0,1.0,1.0,4.948571428571428,21,3,1.0,f,Ward 61,Private room in home,6.478509642208569
2,1.5,1.0,1.0,4.911428571428572,21,2,1.0,t,Ward 115,Entire rental unit,7.208600337960199
2,1.0,1.0,1.0,4.964285714285714,36,4,1.0,t,Ward 60,Private room in home,5.8377304471659395
2,1.0,1.0,0.0,4.700000000000001,38,14,1.0,t,Ward 115,Entire rental unit,6.810142450115136
1,1.0,1.0,1.0,4.928571428571429,4,13,1.0,t,Ward 54,Private room in rental unit,6.016157159698354
4,1.0,1.0,2.0,4.952857142857143,3,1,1.0,f,Ward 102,Entire home,6.898714534329988
2,1.0,1.0,1.0,4.732857142857142,43,21,1.0,f,Ward 100,Entire rental unit,7.718685495198466
2,1.0,1.0,1.0,5.0,3,1,1.0,t,Ward 64,Entire home,6.660575149839686
2,1.0,1.0,1.0,4.857142857142857,1,8,0.94,f,Ward 23,Private room in home,6.769641976852503
6,4.0,4.0,6.0,5.0,2,1,1.0,f,Ward 55,Entire home,8.81744592104187
2,1.0,1.0,1.0,4.864285714285715,23,70,1.0,t,Ward 54,Entire rental unit,7.59890045687141
4,2.5,3.0,3.0,4.857142857142857,1,1,1.0,f,Ward 64,Entire home,7.783640596221253
3,1.0,1.0,1.0,5.0,1,1,1.0,f,Ward 115,Entire rental unit,7.48605261786314
10,5.0,5.0,10.0,4.9314285714285715,41,2,1.0,t,Ward 54,Entire villa,9.781658844170995
2,1.0,1.0,1.0,4.9557142857142855,61,1,1.0,t,Ward 61,Entire guest suite,6.317164686747284
4,2.5,2.0,5.0,4.922857142857143,51,14,0.97,t,Ward 84,Private room in bed and breakfast,7.628031126930335
4,1.0,2.0,2.0,4.9314285714285715,17,1,1.0,f,Ward 115,Entire rental unit,7.524021415206125
2,1.0,1.0,1.0,4.922857142857143,53,10,1.0,f,Ward 1,Entire guest suite,6.673297967767654
2,1.0,0.0,1.0,4.932857142857143,13,2,1.0,f,Ward 77,Entire rental unit,6.9726062513017535
4,2.0,2.0,3.0,4.964285714285714,24,1,1.0,f,Ward 61,Entire home,7.972810784121404
2,1.0,1.0,1.0,4.714285714285714,4,5,1.0,f,Ward 57,Private room in home,6.467698726104354
4,1.0,2.0,3.0,4.942857142857142,10,10,1.0,t,Ward 57,Entire home,6.952728644624869
4,2.0,2.0,3.0,4.721428571428571,20,1,1.0,t,Ward 103,Entire rental unit,7.0909098220799835
6,2.0,4.0,4.0,4.285714285714286,1,1,1.0,f,Ward 58,Entire home,8.160803920954665
2,1.0,1.0,1.0,4.868571428571428,14,30,1.0,t,Ward 115,Entire rental unit,7.32052696227274
2,1.0,1.0,2.0,1.0,1,8,0.9,f,Ward 55,Private room in guest suite,6.5722825426940075
6,2.0,3.0,4.0,4.732857142857142,21,181,0.99,f,Ward 115,Entire rental unit,8.381373468273702
2,1.0,1.0,1.0,5.0,2,2,1.0,f,Ward 54,Entire rental unit,6.947937068614969
4,2.5,3.0,3.0,4.8114285714285705,43,2,1.0,f,Ward 69,Entire home,7.828834527588089
4,2.0,2.0,3.0,4.910000000000001,26,6,1.0,t,Ward 115,Entire rental unit,8.542665987389269
2,1.0,1.0,1.0,4.909999999999999,176,2,1.0,t,Ward 64,Entire rental unit,7.00397413672268
4,2.0,2.0,3.0,4.782857142857142,116,1,1.0,t,Ward 100,Entire rental unit,7.244941546337007
2,1.0,1.0,0.0,4.7542857142857144,21,5,1.0,f,Ward 115,Entire loft,8.412054873292933
2,1.0,1.0,1.0,4.5,2,4,0.63,f,Ward 16,Private room in rental unit,6.2166061010848646
4,2.0,2.0,3.0,4.918571428571428,14,1,1.0,t,Ward 61,Entire home,7.390798521735676
2,2.0,7.0,1.0,1.5714285714285714,1,25,0.93,f,Ward 57,Private room in guesthouse,6.329720905522696
2,0.5,1.0,1.0,4.9399999999999995,34,1,1.0,t,Ward 70,Private room in home,6.269096283706261
4,1.0,2.0,3.0,4.944285714285714,68,1,0.88,t,Ward 113,Entire guesthouse,6.890609120147166
10,5.5,5.0,5.0,4.857142857142857,32,20,1.0,t,Ward 74,Entire home,9.240772579096385
2,1.0,1.0,1.0,3.9685714285714284,8,49,0.97,f,Ward 115,Private room in guesthouse,7.085064293952548
2,1.0,0.0,1.0,4.477142857142858,6,1,1.0,t,Ward 115,Entire rental unit,6.78897174299217
2,1.0,0.0,1.0,4.904285714285714,3,18,1.0,f,Ward 113,Entire rental unit,7.059617628291383
1,1.5,2.0,3.0,4.918571428571428,41,1,1.0,f,Ward 115,Private room in home,6.2766434893416445
4,2.0,2.0,4.0,4.880000000000001,156,1,0.88,t,Ward 15,Entire cottage,6.837332814685591
6,2.0,3.0,4.0,4.5,10,11,1.0,f,Ward 55,Entire rental unit,7.919719760924575
2,1.0,1.0,1.0,4.948571428571428,88,3,1.0,t,Ward 21,Private room in guest suite,6.398594934535208
4,1.0,2.0,2.0,4.8100000000000005,6,49,0.98,t,Ward 54,Entire rental unit,8.249052274171293
2,1.0,1.0,1.0,4.957142857142857,16,1,1.0,t,Ward 107,Private room in home,6.478509642208569
4,2.0,2.0,2.0,4.821428571428571,74,1,1.0,f,Ward 115,Entire rental unit,7.853604813097837
4,2.0,2.0,3.0,4.247142857142857,11,49,1.0,f,Ward 23,Entire rental unit,7.313886831633462
2,1.0,0.0,1.0,4.911428571428572,15,5,1.0,f,Ward 115,Entire guesthouse,8.188966863648876
10,4.0,4.0,8.0,4.967142857142858,141,1,1.0,t,Ward 59,Entire home,8.285008895449879
6,2.0,3.0,4.0,4.952857142857143,3,5,1.0,f,Ward 83,Entire condo,7.958227192322312
4,2.0,2.0,2.0,4.0,1,22,1.0,t,Ward 54,Entire rental unit,7.824445930877619
4,2.0,2.0,2.0,4.305714285714286,7,71,1.0,t,Ward 77,Entire rental unit,8.304742269640771
2,0.5,0.0,1.0,4.864285714285714,24,1,1.0,t,Ward 105,Entire home,6.3818160174060985
2,1.0,1.0,1.0,4.8185714285714285,22,4,1.0,t,Ward 64,Entire rental unit,6.489204931325317
3,1.0,1.0,4.0,4.8585714285714285,9,1,1.0,f,Ward 115,Entire rental unit,7.080867896690782
2,1.5,1.0,2.0,5.0,4,8,1.0,f,Ward 115,Room in boutique hotel,7.7501841622578365
2,1.0,1.0,1.0,4.107142857142857,4,1,1.0,f,Ward 115,Entire rental unit,6.852242569051878
4,1.0,2.0,3.0,4.772857142857143,17,1,1.0,t,Ward 57,Entire home,7.519149957669823
4,2.0,2.0,2.0,4.848571428571428,74,19,0.98,t,Ward 54,Entire rental unit,7.842671474979457
2,1.0,1.0,1.0,4.895714285714286,441,23,1.0,t,Ward 115,Entire serviced apartment,7.444833273892193
8,6.5,5.0,6.0,5.0,2,1,1.0,f,Ward 62,Entire villa,10.34177474101152
2,1.0,1.0,1.0,4.5371428571428565,12,42,1.0,f,Ward 115,Entire rental unit,6.842683282238422
6,2.0,3.0,5.0,4.948571428571428,16,1,1.0,f,Ward 61,Entire home,8.013674142832684
2,1.0,1.0,1.0,4.982857142857142,8,1,1.0,f,Ward 109,Entire rental unit,6.584791392385716
4,2.0,2.0,2.0,4.7614285714285725,18,181,0.99,f,Ward 54,Entire rental unit,8.137980454452139
4,2.0,2.0,2.0,4.694285714285714,90,15,0.97,f,Ward 115,Entire rental unit,7.475339236566737
4,2.0,2.0,2.0,4.968571428571429,184,2,1.0,t,Ward 54,Entire rental unit,7.919719760924575
1,1.0,1.0,2.0,4.952857142857143,6,2,1.0,f,Ward 60,Private room in home,5.860786223465865
10,4.5,5.0,5.0,5.0,7,6,1.0,t,Ward 15,Entire villa,8.78813593986372
2,1.0,1.0,1.0,4.142857142857143,1,2,0.88,f,Ward 59,Private room in rental unit,6.194405391104672
4,1.0,2.0,3.0,4.5842857142857145,73,1,1.0,f,Ward 54,Entire rental unit,7.728855823852543
4,2.0,2.0,3.0,4.765714285714286,283,12,1.0,f,Ward 115,Entire rental unit,7.3938782901077555
4,2.0,2.0,2.0,4.9799999999999995,7,18,0.97,t,Ward 115,Entire rental unit,8.646816959209742
2,1.0,1.0,1.0,4.771428571428571,8,3,1.0,t,Ward 64,Entire rental unit,7.119635638017636
4,1.5,2.0,2.0,4.8428571428571425,9,2,1.0,f,Ward 77,Entire rental unit,7.459914766241105
4,1.0,2.0,2.0,3.9657142857142853,8,2,1.0,f,Ward 115,Entire rental unit,8.022568946988255
6,2.0,3.0,4.0,4.357142857142857,2,1,1.0,f,Ward 115,Entire home,8.334711621820917
4,1.0,2.0,2.0,5.0,2,30,1.0,t,Ward 115,Entire rental unit,7.559038255443384
4,1.0,2.0,2.0,4.598571428571428,66,3,1.0,f,Ward 74,Entire rental unit,7.550135342488429
3,1.0,2.0,2.0,4.965714285714285,8,3,1.0,t,Ward 61,Entire rental unit,7.502186486602924
6,2.5,3.0,0.0,5.0,1,2,1.0,f,Ward 59,Entire home,8.605936401250625
2,1.0,0.0,1.0,4.945714285714286,79,2,1.0,t,Ward 115,Private room in home,7.208600337960199
2,1.0,1.0,1.0,4.594285714285713,6,7,1.0,t,Ward 54,Entire rental unit,7.44600149832412
2,1.0,1.0,1.0,4.952857142857143,3,30,1.0,f,Ward 115,Entire rental unit,7.581209826196346
4,2.0,2.0,3.0,4.871428571428572,141,21,1.0,t,Ward 55,Entire condo,6.842683282238422
8,2.5,4.0,4.0,4.948571428571428,8,1,1.0,f,Ward 55,Entire home,8.492900498847193
2,1.0,1.0,1.0,4.921428571428572,16,4,1.0,t,Ward 115,Entire rental unit,8.42639282708974
2,1.0,1.0,1.0,4.920000000000001,50,1,1.0,t,Ward 59,Private room in rental unit,6.1675164908883415
7,3.5,3.0,3.0,4.841428571428572,160,1,1.0,t,Ward 74,Entire home,8.696343057044556
2,1.0,1.0,3.0,4.922857142857142,43,1,1.0,t,Ward 84,Entire guest suite,6.9167150203536085
2,1.0,1.0,1.0,4.737142857142857,6,1,0.8,f,Ward 55,Entire rental unit,6.985641817639208
2,1.0,1.0,1.0,4.882857142857143,31,9,0.9,t,Ward 74,Private room in home,7.855932199718614
6,3.5,3.0,3.0,4.828571428571428,21,3,0.7,f,Ward 54,Entire serviced apartment,9.38437770918244
3,1.5,1.0,2.0,4.961428571428572,15,2,1.0,f,Ward 100,Entire home,7.620214770574455
2,1.5,1.0,1.0,4.789999999999999,8,1,1.0,f,Ward 115,Entire condo,7.387090235656757
