accommodates,bathrooms,bedrooms,beds,avg_rating,calculated_host_listings_count,host_response_rate,avg_price,minimum_nights,availability_rate,days_since_last_review,number_of_reviews,host_is_superhost,neighbourhood_cleansed,property_type,occupancy
2,1.0,1.0,1.0,4.968571428571429,2,1.0,854.0,1,0.5726027397260274,11.0,58,t,Ward 84,Entire rental unit,150
6,2.0,3.0,4.0,4.908571428571428,1,1.0,2200.0,5,0.7780821917808219,26.0,35,f,Ward 61,Entire home,30
4,1.0,1.0,1.0,4.937142857142858,1,1.0,850.0,2,0.9041095890410958,9.0,9,f,Ward 23,Entire rental unit,54
4,1.0,1.0,2.0,4.9071428571428575,1,1.0,695.0,2,0.9616438356164384,33.0,82,f,Ward 5,Entire rental unit,36
2,1.0,1.0,1.0,4.914285714285714,4,1.0,2850.0,2,0.947945205479452,19.0,5,f,Ward 115,Entire rental unit,30
4,2.0,2.0,2.0,4.0,1,1.0,2250.0,2,0.7205479452054795,117.0,1,f,Ward 59,Entire rental unit,6
2,1.0,1.0,1.0,4.538571428571428,145,0.99,1499.0,1,0.8794520547945206,54.0,8,f,Ward 115,Entire rental unit,48
2,1.0,1.0,1.0,4.428571428571429,145,0.99,1285.0,1,0.9534246575342465,60.0,1,f,Ward 115,Entire rental unit,6
5,1.0,2.0,4.0,4.897142857142858,1,1.0,1200.0,4,0.8246575342465754,17.0,112,t,Ward 64,Entire rental unit,104
4,2.0,2.0,2.0,5.0,1,1.0,1800.0,2,0.7726027397260274,10.0,4,f,Ward 83,Entire rental unit,24
3,1.0,2.0,2.0,4.182857142857143,2,1.0,43.0,14,0.8191780821917808,352.0,7,f,Ward 54,Entire rental unit,28
2,1.0,1.0,1.0,4.685714285714286,25,1.0,900.0,1,0.9397260273972603,6.0,34,f,Ward 115,Entire rental unit,120
2,1.5,1.0,2.0,4.907142857142857,4,1.0,75.0,5,0.4410958904109589,6.0,116,t,Ward 54,Private room in home,130
2,1.0,1.0,0.0,4.835714285714286,30,1.0,1450.0,2,0.6465753424657534,3.0,32,t,Ward 115,Entire rental unit,192
4,2.0,2.0,3.0,4.864285714285714,3,1.0,1400.0,3,0.6904109589041096,51.0,53,f,Ward 83,Entire condo,84
4,1.0,2.0,3.0,4.928571428571429,6,1.0,1950.0,2,0.2219178082191781,3.0,2,t,Ward 107,Entire rental unit,12
6,3.0,3.0,4.0,4.935714285714286,1,1.0,2484.0,1,0.7945205479452054,28.0,43,t,Ward 69,Entire home,90
2,1.0,1.0,1.0,4.9142857142857155,1,1.0,850.0,2,0.4767123287671233,40.0,5,f,Ward 23,Entire rental unit,30
4,1.0,2.0,3.0,4.871428571428571,1,1.0,877.0,3,0.9561643835616438,4.0,33,f,Ward 54,Entire rental unit,72
4,1.5,2.0,3.0,4.547142857142857,7,0.75,1580.0,2,0.9232876712328767,185.0,40,f,Ward 15,Entire rental unit,12
6,2.0,3.0,3.0,4.914285714285714,18,1.0,9500.0,3,0.6821917808219178,412.0,17,t,Ward 115,Entire condo,0
2,1.0,1.0,1.0,4.885714285714285,1,1.0,750.0,2,0.7041095890410959,31.0,10,f,Ward 102,Entire rental unit,18
13,2.0,4.0,11.0,4.662857142857143,9,1.0,2500.0,4,0.8191780821917808,38.0,14,f,Ward 61,Entire home,112
2,1.0,1.0,0.0,4.881428571428572,1,1.0,1300.0,2,0.3150684931506849,20.0,24,f,Ward 115,Entire rental unit,90
4,2.0,2.0,4.0,4.987142857142857,2,1.0,1800.0,1,0.5808219178082191,9.0,11,t,Ward 55,Entire rental unit,66
16,5.0,6.0,10.0,4.78,1,1.0,3000.0,2,0.8383561643835616,3.0,93,f,Ward 100,Farm stay,48
6,2.5,3.0,4.0,4.755714285714285,6,1.0,2900.0,2,0.057534246575342465,5.0,52,f,Ward 107,Entire rental unit,36
4,1.0,2.0,3.0,4.8585714285714285,1,1.0,1100.0,2,0.915068493150685,17.0,40,t,Ward 61,Entire condo,108
4,2.0,2.0,3.0,4.890000000000001,5,1.0,1650.0,1,0.9205479452054794,22.0,9,f,Ward 55,Entire rental unit,54
2,1.0,0.0,1.0,2.857142857142857,1,1.0,1700.0,1,0.9643835616438357,46.0,1,f,Ward 54,Entire rental unit,6
4,2.0,2.0,2.0,4.880000000000001,181,0.99,5000.0,4,0.6602739726027397,30.0,145,f,Ward 115,Entire rental unit,152
2,1.0,1.0,1.0,4.82,1,0.9,333.0,2,0.13972602739726028,30.0,145,f,Ward 53,Entire rental unit,138
2,1.0,0.0,2.0,4.808571428571429,4,1.0,542.0,3,0.4794520547945205,77.0,6,f,Ward 58,Entire rental unit,6
4,1.0,2.0,3.0,4.285714285714286,20,1.0,3080.0,1,0.23835616438356164,49.0,2,t,Ward 74,Entire cottage,6
6,1.5,3.0,3.0,5.0,5,1.0,1550.0,1,0.4808743169398907,3.0,1,f,Ward 64,Entire home,6
2,1.0,1.0,1.0,4.887142857142857,2,1.0,800.0,3,0.6547945205479452,10.0,21,t,Ward 4,Private room in home,66
4,2.0,2.0,2.0,2.2142857142857144,1,1.0,2500.0,2,0.9424657534246575,54.0,2,f,Ward 115,Entire rental unit,12
2,1.0,1.0,1.0,4.199999999999999,1,1.0,436.0,1,0.7068493150684931,39.0,8,f,Ward 72,Entire rental unit,18
4,1.0,2.0,2.0,4.937142857142857,2,1.0,3500.0,2,0.8904109589041096,3.0,29,t,Ward 77,Entire rental unit,66
2,1.0,1.0,1.0,4.912857142857143,3,1.0,1850.0,2,0.6575342465753424,117.0,37,t,Ward 62,Entire villa,54
2,1.5,1.0,2.0,4.93,1,1.0,485.0,2,0.8958904109589041,40.0,12,f,Ward 113,Entire guest suite,18
4,2.0,3.0,3.0,4.902857142857143,8,1.0,2000.0,2,0.4344262295081967,41.0,19,f,Ward 64,Entire home,54
10,8.0,5.0,5.0,4.805714285714286,2,1.0,30000.0,5,0.06575342465753424,1116.0,8,t,Ward 54,Entire villa,0
6,3.5,4.0,4.0,4.541428571428572,22,1.0,4024.0,7,0.1095890410958904,137.0,9,t,Ward 73,Entire home,14
8,4.0,4.0,4.0,4.859999999999999,20,1.0,9800.0,3,0.7315068493150685,11.0,66,t,Ward 54,Entire villa,78
2,1.0,1.0,1.0,4.891428571428571,3,1.0,1900.0,2,0.22465753424657534,19.0,99,f,Ward 54,Entire rental unit,24
2,1.0,1.0,1.0,4.987142857142857,1,1.0,800.0,3,0.810958904109589,20.0,32,f,Ward 71,Entire guest suite,18
4,2.5,2.0,2.0,4.957142857142856,1,1.0,35000.0,2,0.7232876712328767,796.0,30,f,Ward 115,Entire loft,0
2,1.0,0.0,1.0,4.951428571428572,3,1.0,700.0,4,0.8575342465753425,37.0,166,t,Ward 115,Entire rental unit,96
4,2.0,2.0,2.0,4.965714285714285,5,0.67,5700.0,2,0.4794520547945205,68.0,22,f,Ward 54,Private room in rental unit,12
2,1.0,1.0,1.0,4.915714285714286,14,1.0,1000.0,2,0.33972602739726027,2.0,67,t,Ward 54,Entire rental unit,252
2,1.0,1.0,1.0,4.497142857142857,74,0.89,950.0,2,0.1643835616438356,3.0,40,f,Ward 115,Entire rental unit,138
4,1.5,2.0,2.0,4.962857142857142,1,1.0,150.0,4,0.6876712328767123,7.0,30,t,Ward 77,Entire rental unit,144
4,1.0,1.0,3.0,4.957142857142856,1,1.0,394.0,2,0.19452054794520549,23.0,68,t,Ward 1,Entire rental unit,255
2,1.0,1.0,1.0,5.0,1,1.0,1150.0,2,0.7342465753424657,37.0,1,f,Ward 54,Entire rental unit,6
2,1.0,1.0,1.0,4.902857142857143,2,1.0,1250.0,2,0.4602739726027397,10.0,63,f,Ward 115,Entire serviced apartment,138
2,1.0,1.0,1.0,4.797142857142857,1,1.0,950.0,3,0.989041095890411,27.0,12,t,Ward 107,Entire rental unit,24
4,1.0,1.0,2.0,4.7942857142857145,2,1.0,757.0,2,0.8712328767123287,0.0,113,t,Ward 83,Entire condo,255
2,1.0,0.0,1.0,4.762857142857143,49,0.98,1320.0,2,0.8931506849315068,84.0,9,t,Ward 54,Entire rental unit,6
9,3.5,4.0,4.0,5.0,2,1.0,15000.0,7,0.9917808219178083,80.0,6,f,Ward 62,Entire villa,14
6,2.0,3.0,4.0,5.0,38,1.0,3780.0,4,0.2054794520547945,29.0,1,t,Ward 64,Entire home,8
4,1.0,1.0,2.0,4.904285714285715,3,1.0,800.0,2,0.42191780821917807,10.0,32,t,Ward 61,Farm stay,174
4,1.0,2.0,3.0,4.388571428571429,181,0.99,6000.0,1,0.989041095890411,24.0,7,f,Ward 115,Entire rental unit,42
5,2.0,3.0,4.0,4.857142857142857,51,1.0,1001.0,2,0.9835616438356164,15.0,2,t,Ward 61,Entire home,12
2,1.0,1.0,1.0,4.619999999999999,7,1.0,1800.0,2,0.18032786885245902,4.0,6,f,Ward 55,Entire rental unit,36
2,1.0,1.0,1.0,4.547142857142857,108,0.97,1400.0,1,0.6712328767123288,115.0,6,f,Ward 55,Entire rental unit,36
4,2.0,2.0,3.0,4.727142857142857,1,1.0,4250.0,4,0.8465753424657534,40.0,113,t,Ward 77,Entire home,120
4,1.0,2.0,4.0,4.928571428571429,3,0.78,2500.0,2,0.7068493150684931,386.0,2,t,Ward 61,Entire rental unit,0
2,1.0,1.0,1.0,4.742857142857143,45,0.98,10000.0,3,0.9808219178082191,7.0,5,t,Ward 54,Entire rental unit,30
2,1.5,0.0,1.0,4.971428571428571,4,1.0,1700.0,2,0.7753424657534247,3.0,56,t,Ward 23,Entire rental unit,30
4,2.0,2.0,2.0,4.7,1,1.0,1550.0,2,0.38082191780821917,75.0,36,f,Ward 70,Entire rental unit,42
2,1.0,1.0,0.0,4.838571428571429,14,1.0,888.0,2,0.4520547945205479,43.0,15,t,Ward 54,Entire rental unit,90
2,1.0,1.0,1.0,4.964285714285714,7,1.0,1650.0,2,0.8958904109589041,9.0,54,t,Ward 23,Entire rental unit,48
7,2.5,3.0,5.0,4.975714285714285,53,1.0,9000.0,4,0.5041095890410959,61.0,6,t,Ward 54,Entire rental unit,32
2,1.0,0.0,1.0,4.771428571428572,2,0.88,1600.0,2,0.4849315068493151,30.0,91,t,Ward 77,Entire rental unit,30
2,1.0,1.0,1.0,4.807142857142857,37,1.0,1250.0,1,0.9561643835616438,1.0,140,f,Ward 115,Entire serviced apartment,255
2,1.5,1.0,1.0,4.857142857142857,13,1.0,2200.0,1,0.6465753424657534,534.0,1,f,Ward 109,Private room in rental unit,0
8,1.5,4.0,6.0,4.7700000000000005,4,1.0,4254.0,2,0.7835616438356164,41.0,21,f,Ward 7,Entire home,6
8,3.0,4.0,4.0,5.0,1,1.0,18000.0,5,0.9424657534246575,24.0,7,f,Ward 77,Entire home,30
4,1.0,2.0,2.0,4.965714285714286,1,1.0,1500.0,3,0.3698630136986301,1.0,43,t,Ward 62,Entire guest suite,126
2,1.0,1.0,1.0,4.771428571428571,6,1.0,1300.0,4,0.863013698630137,138.0,28,t,Ward 4,Entire serviced apartment,8
2,1.0,1.0,1.0,4.834285714285714,2,0.9,740.0,2,0.27123287671232876,54.0,149,f,Ward 115,Entire rental unit,60
2,1.0,1.0,1.0,4.8028571428571425,145,0.99,1907.0,1,0.8301369863013699,124.0,19,f,Ward 54,Entire rental unit,78
2,1.5,1.0,1.0,4.095714285714286,10,0.9,1500.0,1,0.8849315068493151,542.0,3,f,Ward 59,Private room in guesthouse,0
2,1.0,1.0,1.0,4.987142857142857,1,1.0,1110.0,1,0.6109589041095891,2.0,11,t,Ward 23,Entire condo,66
6,1.5,3.0,4.0,4.894285714285715,1,1.0,1800.0,3,0.8712328767123287,157.0,51,t,Ward 61,Entire home,24
9,3.5,4.0,5.0,4.702857142857143,1,0.0,1400.0,2,0.43561643835616437,73.0,50,f,Ward 113,Entire home,66
7,2.0,3.0,5.0,4.928571428571429,1,1.0,3950.0,3,0.7589041095890411,80.0,2,f,Ward 64,Entire home,6
2,1.0,0.0,1.0,4.868571428571429,2,1.0,1200.0,5,0.473972602739726,9.0,12,f,Ward 77,Entire rental unit,120
6,3.0,3.0,3.0,5.0,43,1.0,3500.0,1,0.821917808219178,405.0,3,f,Ward 100,Entire rental unit,0
4,2.0,2.0,2.0,4.857142857142856,21,1.0,1000.0,3,0.6794520547945205,26.0,135,t,Ward 55,Entire condo,180
16,8.0,8.0,8.0,4.811428571428571,21,0.97,1620.0,4,0.9178082191780822,120.0,3,t,Ward 54,Entire villa,8
2,1.0,1.0,0.0,5.0,3,1.0,1600.0,3,0.8356164383561644,71.0,2,t,Ward 54,Entire rental unit,12
2,1.0,1.0,2.0,4.8,2,1.0,1000.0,2,0.7123287671232876,21.0,15,f,Ward 115,Entire rental unit,30
2,1.0,1.0,1.0,5.0,145,0.99,1392.0,1,0.8904109589041096,153.0,1,f,Ward 115,Entire rental unit,6
6,2.0,3.0,4.0,4.941428571428572,1,1.0,2100.0,3,0.7205479452054795,67.0,27,f,Ward 83,Entire rental unit,24
4,1.0,0.0,3.0,5.0,22,1.0,2400.0,2,0.8164383561643835,34.0,3,t,Ward 64,Entire rental unit,18
2,1.0,0.0,1.0,4.714285714285714,3,0.1,5000.0,2,0.24383561643835616,1839.0,1,f,Ward 23,Private room in guest suite,0
8,3.0,4.0,7.0,4.902857142857142,2,1.0,5000.0,3,0.7753424657534247,25.0,59,t,Ward 54,Entire home,102
2,1.0,0.0,1.0,4.744285714285715,1,1.0,655.0,2,0.7890410958904109,7.0,29,f,Ward 115,Entire rental unit,102
2,1.5,1.0,0.0,4.717142857142856,19,1.0,900.0,4,0.5095890410958904,32.0,32,t,Ward 54,Entire condo,56
4,3.0,2.0,3.0,4.331428571428572,1,1.0,3200.0,2,0.9452054794520548,62.0,16,f,Ward 54,Entire rental unit,24
2,1.0,1.0,1.0,4.938571428571428,8,1.0,38.0,2,0.46301369863013697,7.0,16,t,Ward 54,Room in boutique hotel,96
2,1.0,1.0,1.0,5.0,18,1.0,2500.0,2,0.9808219178082191,41.0,1,t,Ward 115,Entire rental unit,6
4,2.0,1.0,1.0,4.898571428571429,1,1.0,1200.0,2,0.08493150684931507,137.0,24,f,Ward 77,Entire rental unit,6
2,1.5,1.0,1.0,4.434285714285714,2,1.0,572.0,7,0.13150684931506848,59.0,23,f,Ward 57,Entire rental unit,14
5,2.5,4.0,4.0,4.968571428571429,2,1.0,699.0,6,0.06027397260273973,69.0,9,t,Ward 84,Entire home,12
4,1.0,1.0,2.0,4.938571428571429,1,1.0,2490.0,2,0.9643835616438357,26.0,7,f,Ward 74,Entire condo,42
4,1.0,1.0,1.0,4.6899999999999995,1,1.0,850.0,2,0.19452054794520549,35.0,62,f,Ward 83,Entire rental unit,60
1,1.0,1.0,1.0,5.0,1,1.0,300.0,1,0.9945205479452055,719.0,1,f,Ward 1,Private room in guest suite,0
6,3.0,3.0,4.0,4.845714285714285,1,1.0,3500.0,3,0.7808219178082192,2.0,137,t,Ward 115,Entire rental unit,198
2,1.0,1.0,1.0,4.872857142857143,1,1.0,1200.0,1,0.9095890410958904,41.0,19,t,Ward 115,Entire rental unit,36
3,1.0,1.0,1.0,4.948571428571428,1,1.0,680.0,1,0.06575342465753424,10.0,8,f,Ward 70,Entire rental unit,48
5,1.5,2.0,2.0,4.848571428571428,8,0.89,4250.0,3,0.5671232876712329,24.0,19,t,Ward 54,Entire serviced apartment,12
4,2.0,2.0,4.0,4.868571428571428,6,0.9,7000.0,2,0.9397260273972603,43.0,14,t,Ward 115,Entire rental unit,24
2,1.0,1.0,1.0,4.822857142857143,8,1.0,1650.0,2,0.6273972602739726,19.0,311,t,Ward 115,Entire rental unit,198
2,1.0,0.0,1.0,4.527142857142858,5,1.0,1200.0,3,0.9780821917808219,60.0,39,f,Ward 115,Entire rental unit,12
2,0.0,1.0,1.0,4.697142857142857,3,1.0,800.0,1,0.6657534246575343,30.0,48,f,Ward 64,Room in bed and breakfast,78
2,1.0,1.0,1.0,4.714285714285714,9,0.96,1280.0,2,0.9863013698630136,429.0,1,f,Ward 54,Entire serviced apartment,0
2,1.0,1.0,1.0,4.698571428571428,35,0.98,1530.0,2,0.0958904109589041,192.0,91,f,Ward 115,Entire rental unit,24
8,3.5,4.0,4.0,4.952857142857143,76,1.0,11000.0,10,0.13150684931506848,71.0,3,t,Ward 54,Entire home,20
4,2.0,2.0,3.0,4.8,35,0.98,1530.0,2,0.32602739726027397,26.0,10,f,Ward 23,Entire rental unit,30
8,3.5,4.0,4.0,4.721428571428572,38,1.0,4000.0,3,0.038356164383561646,22.0,20,t,Ward 62,Entire home,36
4,0.5,2.0,2.0,5.0,83,0.9,2991.0,2,0.9041095890410958,536.0,2,f,Ward 55,Entire rental unit,0
2,1.0,1.0,2.0,4.178571428571429,3,1.0,950.0,3,0.40821917808219177,22.0,4,t,Ward 115,Entire rental unit,24
4,2.0,2.0,2.0,4.75,11,1.0,3000.0,5,0.4602739726027397,76.0,4,f,Ward 61,Entire home,10
2,1.0,1.0,1.0,4.65142857142857,7,1.0,1836.0,1,0.9534246575342465,78.0,9,f,Ward 115,Entire rental unit,6
2,1.0,1.0,1.0,4.971428571428571,2,1.0,492.0,1,0.5397260273972603,18.0,36,t,Ward 64,Private room in vacation home,120
6,2.0,3.0,6.0,4.882857142857143,20,1.0,4500.0,2,0.9013698630136986,13.0,85,t,Ward 61,Entire cottage,66
8,2.0,3.0,4.0,4.797142857142857,1,1.0,155.0,7,0.9534246575342465,692.0,19,f,Ward 61,Entire home,0
8,2.5,4.0,5.0,4.83,1,1.0,4000.0,3,0.6383561643835617,4.0,38,t,Ward 77,Entire home,174
4,2.0,2.0,3.0,4.8,2,1.0,1220.0,5,0.7561643835616438,11.0,116,f,Ward 23,Entire rental unit,200
2,1.0,1.0,1.0,4.844285714285715,3,1.0,380.0,2,0.5150684931506849,2.0,22,t,Ward 107,Private room in guest suite,132
6,2.0,3.0,3.0,4.781428571428571,40,1.0,2500.0,3,0.21643835616438356,38.0,35,f,Ward 55,Entire condo,12
2,1.0,1.0,1.0,4.428571428571429,1,1.0,790.0,1,0.589041095890411,75.0,2,f,Ward 115,Entire rental unit,12
2,1.0,2.0,1.0,4.922857142857143,1,1.0,3500.0,3,0.4986301369863014,1114.0,13,t,Ward 115,Entire rental unit,0
4,2.0,2.0,2.0,4.975714285714285,1,1.0,2400.0,2,0.6219178082191781,100.0,6,f,Ward 84,Entire rental unit,18
2,1.5,1.0,2.0,4.771428571428571,8,1.0,60.0,1,0.589041095890411,2196.0,10,f,Ward 115,Private room in bed and breakfast,0
3,1.0,1.0,3.0,4.808571428571428,1,1.0,32.0,2,0.32054794520547947,19.0,14,f,Ward 57,Entire loft,84
4,1.0,2.0,3.0,5.0,2,1.0,1000.0,3,0.4410958904109589,97.0,3,t,Ward 84,Entire guesthouse,18
4,2.0,2.0,2.0,4.8342857142857145,3,1.0,1000.0,1,0.24383561643835616,13.0,25,t,Ward 115,Entire rental unit,90
2,1.0,1.0,1.0,4.704285714285715,4,1.0,595.0,4,0.32602739726027397,29.0,73,f,Ward 115,Entire rental unit,56
3,1.0,1.0,2.0,5.0,18,1.0,562.0,1,1.0,773.0,1,f,Ward 3,Private room in home,0
8,4.0,4.0,4.0,4.905714285714285,7,1.0,5000.0,10,0.8931506849315068,72.0,9,t,Ward 74,Entire home,20
2,1.0,1.0,1.0,4.948571428571428,3,1.0,650.0,1,0.29863013698630136,2905.0,21,f,Ward 61,Private room in home,0
2,1.5,1.0,1.0,4.911428571428572,2,1.0,1250.0,4,0.5205479452054794,29.0,21,t,Ward 115,Entire rental unit,32
2,1.0,1.0,1.0,4.964285714285714,4,1.0,320.0,3,0.14246575342465753,15.0,36,t,Ward 60,Private room in home,60
2,1.0,1.0,0.0,4.700000000000001,14,1.0,828.0,2,0.663013698630137,8.0,38,t,Ward 115,Entire rental unit,228
1,1.0,1.0,1.0,4.928571428571429,13,1.0,440.0,2,0.4602739726027397,95.0,4,t,Ward 54,Private room in rental unit,24
4,1.0,1.0,2.0,4.952857142857143,1,1.0,1100.0,3,0.7158469945355191,43.0,3,f,Ward 102,Entire home,6
2,1.0,1.0,1.0,4.732857142857142,21,1.0,1939.0,1,0.8575342465753425,64.0,43,f,Ward 100,Entire rental unit,78
2,1.0,1.0,1.0,5.0,1,1.0,780.0,3,0.9671232876712329,9.0,3,t,Ward 64,Entire home,18
2,1.0,1.0,1.0,4.857142857142857,8,0.94,44.0,3,0.9671232876712329,22.0,1,f,Ward 23,Private room in home,6
6,4.0,4.0,6.0,5.0,1,1.0,4990.0,3,0.37534246575342467,72.0,2,f,Ward 55,Entire home,12
2,1.0,1.0,1.0,4.864285714285715,70,1.0,1995.0,2,0.3780821917808219,12.0,23,t,Ward 54,Entire rental unit,138
4,2.5,3.0,3.0,4.857142857142857,1,1.0,3000.0,8,0.736986301369863,439.0,1,f,Ward 64,Entire home,0
3,1.0,1.0,1.0,5.0,1,1.0,2000.0,1,0.7397260273972602,43.0,1,f,Ward 115,Entire rental unit,6
10,5.0,5.0,10.0,4.9314285714285715,2,1.0,800.0,3,0.4054794520547945,40.0,41,t,Ward 54,Entire villa,30
2,1.0,1.0,1.0,4.9557142857142855,1,1.0,650.0,2,0.8410958904109589,26.0,61,t,Ward 61,Entire guest suite,42
4,2.5,2.0,5.0,4.922857142857143,14,0.97,2400.0,1,0.8465753424657534,28.0,51,t,Ward 84,Private room in bed and breakfast,72
4,1.0,2.0,2.0,4.9314285714285715,1,1.0,2000.0,1,0.9342465753424658,6.0,17,f,Ward 115,Entire rental unit,102
2,1.0,1.0,1.0,4.922857142857143,10,1.0,790.0,1,0.5867052023121387,69.0,53,f,Ward 1,Entire guest suite,24
2,1.0,0.0,1.0,4.932857142857143,2,1.0,750.0,2,0.3232876712328767,10.0,13,f,Ward 77,Entire rental unit,78
4,2.0,2.0,3.0,4.964285714285714,1,1.0,2900.0,4,0.1506849315068493,28.0,24,f,Ward 61,Entire home,64
2,1.0,1.0,1.0,4.714285714285714,5,1.0,714.0,1,0.13150684931506848,47.0,4,f,Ward 57,Private room in home,12
4,1.0,2.0,3.0,4.942857142857142,10,1.0,950.0,3,0.5041095890410959,45.0,10,t,Ward 57,Entire home,60
4,2.0,2.0,3.0,4.721428571428571,1,1.0,2000.0,3,0.9013698630136986,4.0,20,t,Ward 103,Entire rental unit,114
6,2.0,4.0,4.0,4.285714285714286,1,1.0,3500.0,6,0.13424657534246576,73.0,1,f,Ward 58,Entire home,12
2,1.0,1.0,1.0,4.868571428571428,30,1.0,1650.0,2,0.6712328767123288,12.0,14,t,Ward 115,Entire rental unit,84
2,1.0,1.0,2.0,1.0,8,0.9,700.0,1,0.136986301369863,76.0,1,f,Ward 55,Private room in guest suite,6
6,2.0,3.0,4.0,4.732857142857142,181,0.99,7500.0,4,0.6191780821917808,8.0,21,f,Ward 115,Entire rental unit,72
2,1.0,1.0,1.0,5.0,2,1.0,1300.0,1,0.9534246575342465,28.0,2,f,Ward 54,Entire rental unit,12
4,2.5,3.0,3.0,4.8114285714285705,2,1.0,2000.0,3,0.673972602739726,23.0,43,f,Ward 69,Entire home,36
4,2.0,2.0,3.0,4.910000000000001,6,1.0,5000.0,4,0.021917808219178082,26.0,26,t,Ward 115,Entire rental unit,8
2,1.0,1.0,1.0,4.909999999999999,2,1.0,1100.0,2,0.6027397260273972,33.0,176,t,Ward 64,Entire rental unit,120
4,2.0,2.0,3.0,4.782857142857142,1,1.0,1400.0,2,0.9452054794520548,8.0,116,t,Ward 100,Entire rental unit,72
2,1.0,1.0,0.0,4.7542857142857144,5,1.0,4200.0,1,0.7753424657534247,455.0,21,f,Ward 115,Entire loft,0
2,1.0,1.0,1.0,4.5,4,0.63,500.0,1,1.0,33.0,2,f,Ward 16,Private room in rental unit,6
4,2.0,2.0,3.0,4.918571428571428,1,1.0,1026.0,2,0.11506849315068493,21.0,14,t,Ward 61,Entire home,12
2,2.0,7.0,1.0,1.5714285714285714,25,0.93,700.0,1,0.736986301369863,45.0,1,f,Ward 57,Private room in guesthouse,6
2,0.5,1.0,1.0,4.9399999999999995,1,1.0,586.0,1,0.9123287671232877,10.0,34,t,Ward 70,Private room in home,204
4,1.0,2.0,3.0,4.944285714285714,1,0.88,687.0,2,0.9506849315068493,66.0,68,t,Ward 113,Entire guesthouse,48
10,5.5,5.0,5.0,4.857142857142857,20,1.0,11000.0,3,0.9013698630136986,13.0,32,t,Ward 74,Entire home,186
2,1.0,1.0,1.0,3.9685714285714284,49,0.97,1275.0,1,0.9945205479452055,430.0,8,f,Ward 115,Private room in guesthouse,0
2,1.0,0.0,1.0,4.477142857142858,1,1.0,1250.0,2,0.9095890410958904,52.0,6,t,Ward 115,Entire rental unit,36
2,1.0,0.0,1.0,4.904285714285714,18,1.0,1400.0,2,0.915068493150685,51.0,3,f,Ward 113,Entire rental unit,18
1,1.5,2.0,3.0,4.918571428571428,1,1.0,887.0,6,0.9041095890410958,20.0,41,f,Ward 115,Private room in home,96
4,2.0,2.0,4.0,4.880000000000001,1,0.88,950.0,1,0.8164383561643835,65.0,156,t,Ward 15,Entire cottage,144
